"SRS ID","Body Site","Assembly file location","Assembly MD5","Assembly File Size","Reads file location","Reads MD5","Reads File Size"
"SRS058213","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS058213.scaffolds.fa.bz2","b019fb4f86cdc034b3c9d5359735163e","2524357","/data/Illumina/anterior_nares/SRS058213.tar.bz2","8aeb6b833632607b666376e655144f4d","205940081"
"SRS065142","anterior_nares","/data/HMASM/PGAs/anterior_nares/SRS065142.scaffolds.fa.bz2","3210d30d49e882cb251e7318d2b70b3b","7811","/data/Illumina/anterior_nares/SRS065142.tar.bz2","3b05d6fcb205106fbd03f314e39f6d63","14140647"
"SRS019125","attached_keratinized_gingiva","/data/HMASM/PGAs/attached_keratinized_gingiva/SRS019125.scaffolds.fa.bz2","defca5aa68508f46f05ad274c99cfcac","13854697","/data/Illumina/attached_keratinized_gingiva/SRS019125.tar.bz2","b3bfd385662f10c9c87187233c801dd7","4566153548"
"SRS013711","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS013711.scaffolds.fa.bz2","b89c4d599526a6eb9b05d47fbd1e60d9","6351897","/data/Illumina/buccal_mucosa/SRS013711.tar.bz2","553efd9c091aca753a5da9162eae7673","751634275"
"SRS014890","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS014890.scaffolds.fa.bz2","b63cbacc9851ec66d8bbe4dc197a72e2","712791","/data/Illumina/buccal_mucosa/SRS014890.tar.bz2","16e3de6268788bd2753ad3d01d221d73","157995771"
"SRS015154","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS015154.scaffolds.fa.bz2","14742264ef130905b10efd80e7f2cdbb","4967382","/data/Illumina/buccal_mucosa/SRS015154.tar.bz2","c34d29fd263d4b35bbb739c7a006b7d1","486127009"
"SRS015274","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS015274.scaffolds.fa.bz2","28d7810ec95ee7b8916d01648ef455ea","1563562","/data/Illumina/buccal_mucosa/SRS015274.tar.bz2","7c768f2a2d5e12050599904301fa4acd","211648279"
"SRS015745","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS015745.scaffolds.fa.bz2","210264a5f29a7e68fd5fe62e2dbd6ec7","6582029","/data/Illumina/buccal_mucosa/SRS015745.tar.bz2","e96b33f32ba734e0d87f54e45cc3ccd6","720502100"
"SRS015985","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS015985.scaffolds.fa.bz2","8c14fa3e3244d025efa6381918fab258","14741490","/data/Illumina/buccal_mucosa/SRS015985.tar.bz2","b07b7e0298e659612827285df1b16dba","2579033527"
"SRS016349","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS016349.scaffolds.fa.bz2","f7603b10784b4b6104b8e79d755e6dbe","2046971","/data/Illumina/buccal_mucosa/SRS016349.tar.bz2","4ebfbed79a264eca6dc01d87e4108002","360385642"
"SRS017441","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS017441.scaffolds.fa.bz2","fadee6b6c83ebae4007e29849a516366","2155019","/data/Illumina/buccal_mucosa/SRS017441.tar.bz2","347faf375c82437303473599b9dddb7b","736462935"
"SRS018359","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS018359.scaffolds.fa.bz2","3b080241fac099986d7d8b47a75c8abf","4465641","/data/Illumina/buccal_mucosa/SRS018359.tar.bz2","784fe32a0b0628e289d9ce2c2331ce91","1086453343"
"SRS018569","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS018569.scaffolds.fa.bz2","3a8c343350f38f1b77ef3e11f4e16b42","1229641","/data/Illumina/buccal_mucosa/SRS018569.tar.bz2","37de4216b2df4098f2b6c819ea2e7c1c","146777758"
"SRS018774","buccal_mucosa","/data/HMASM/PGAs/buccal_mucosa/SRS018774.scaffolds.fa.bz2","187b5bb1f56dd2de42959993221583e3","4077837","/data/Illumina/buccal_mucosa/SRS018774.tar.bz2","6abffd5d2ad39ffefe954d80120886e2","641949056"
